time_days,mse_c,mse_h,old_c,old_h
1.890000000000000000e+03,1.043920565280131996e-05,2.606439375085756183e-05,5.909852916374802589e-05,1.450207764719380066e-05
1.900000000000000000e+03,1.068973597284639254e-05,2.582813249318860471e-05,5.887373481527902186e-05,1.429680742148775607e-05
1.910000000000000000e+03,1.096068081096746027e-05,2.559874337748624384e-05,5.866964420420117676e-05,1.406946284987498075e-05
1.920000000000000000e+03,1.126995812228415161e-05,2.540639252401888371e-05,5.848225555382668972e-05,1.386242001899518073e-05
1.930000000000000000e+03,1.158634222520049661e-05,2.522566865081898868e-05,5.829942892887629569e-05,1.366073502140352502e-05
1.940000000000000000e+03,1.193765820062253624e-05,2.509044497855938971e-05,5.812403105664998293e-05,1.349136073258705437e-05
1.950000000000000000e+03,1.229345525644021109e-05,2.496581691957544535e-05,5.796566620119847357e-05,1.328882990492274985e-05
1.960000000000000000e+03,1.266285107703879476e-05,2.487330857547931373e-05,5.783588130725547671e-05,1.310103925789007917e-05
1.970000000000000000e+03,1.303943372477078810e-05,2.480090188328176737e-05,5.773880184278823435e-05,1.289717602048767731e-05
1.980000000000000000e+03,1.341698862233897671e-05,2.475608562235720456e-05,5.766932736150920391e-05,1.271994460694259033e-05
1.990000000000000000e+03,1.378405522700631991e-05,2.473786298651248217e-05,5.761739885201677680e-05,1.254554535989882424e-05
2.000000000000000000e+03,1.414656071574427187e-05,2.474094617355149239e-05,5.759272607974708080e-05,1.235624949913471937e-05
2.010000000000000000e+03,1.450599211239023134e-05,2.475460496498271823e-05,5.760561180068179965e-05,1.216012788063380867e-05
2.020000000000000000e+03,1.483612231822917238e-05,2.478315946063958108e-05,5.765635432908311486e-05,1.195436288980999961e-05
2.030000000000000000e+03,1.515464191470528021e-05,2.482506897649727762e-05,5.774392047896981239e-05,1.174130738945677876e-05
2.040000000000000000e+03,1.544812039355747402e-05,2.487385427230037749e-05,5.787383997812867165e-05,1.151480228145373985e-05
2.050000000000000000e+03,1.570080894452985376e-05,2.491967643436510116e-05,5.805906403111293912e-05,1.126529878092696890e-05
2.060000000000000000e+03,1.594393324921838939e-05,2.496190791134722531e-05,5.830382724525406957e-05,1.101804264180827886e-05
