time_days,mse_c,mse_h,old_c,old_h
2.230000000000000000e+03,6.917369432812847663e-07,5.625806807074695826e-07,6.277082138694822788e-05,1.322417210758430883e-05
2.240000000000000000e+03,6.859593213448533788e-07,6.530329414999869186e-07,6.302668043645098805e-05,1.366426658933050931e-05
2.250000000000000000e+03,6.812348374296561815e-07,7.107110491233470384e-07,6.326820584945380688e-05,1.410795630363281816e-05
2.260000000000000000e+03,6.746367375853878912e-07,7.219341568998061121e-07,6.348882016027346253e-05,1.453608729207189754e-05
2.270000000000000000e+03,6.655525908172421623e-07,6.863267003609507810e-07,6.367981404764577746e-05,1.495156175224110484e-05
2.280000000000000000e+03,6.565201147168409079e-07,6.144325084278534632e-07,6.383312575053423643e-05,1.533816976007074118e-05
2.290000000000000000e+03,6.524469426949508488e-07,5.285828592604957521e-07,6.394243246177211404e-05,1.570798667671624571e-05
2.300000000000000000e+03,6.595500963157974184e-07,4.493292919960367726e-07,6.400316487997770309e-05,1.604491080797743052e-05
2.310000000000000000e+03,6.856859045001328923e-07,4.030401612453715643e-07,6.401153223123401403e-05,1.635483567952178419e-05
2.320000000000000000e+03,7.376452799690014217e-07,4.165427753832773305e-07,6.396576645784080029e-05,1.663036891841329634e-05
2.330000000000000000e+03,8.207687756112136412e-07,5.072847102383093443e-07,6.386511813616380095e-05,1.687022995611187071e-05
2.340000000000000000e+03,9.377457672599120997e-07,6.812376796005992219e-07,6.371096969814971089e-05,1.708187301119323820e-05
2.350000000000000000e+03,1.087583427761273924e-06,9.393278901370649692e-07,6.350483454298228025e-05,1.725150650599971414e-05
2.360000000000000000e+03,1.266037656932894606e-06,1.265041646547615528e-06,6.325038702925667167e-05,1.739797517075203359e-05
2.370000000000000000e+03,1.465841478420770727e-06,1.639476977288722992e-06,6.295226921793073416e-05,1.750329647620674223e-05
2.380000000000000000e+03,1.676624151514261030e-06,2.033633336395723745e-06,6.261574162635952234e-05,1.759097904141526669e-05
2.390000000000000000e+03,1.886255859062657692e-06,2.424598733341554180e-06,6.224713433766737580e-05,1.764243279467336833e-05
2.400000000000000000e+03,2.082413175230612978e-06,2.778492898869444616e-06,6.185229722177609801e-05,1.767639696481637657e-05
2.410000000000000000e+03,2.252683543702005409e-06,3.070032335017458536e-06,6.143735663499683142e-05,1.768297443049959838e-05
2.420000000000000000e+03,2.387029326200718060e-06,3.278582880739122629e-06,6.100886093918234110e-05,1.768102083588019013e-05
2.430000000000000000e+03,2.478157512086909264e-06,3.409430064493790269e-06,6.057408609194681048e-05,1.765071465342771262e-05
2.440000000000000000e+03,2.521863507354282774e-06,3.443310561124235392e-06,6.013951133354566991e-05,1.761131716193631291e-05
2.450000000000000000e+03,2.517459506634622812e-06,3.388845698282239027e-06,5.971113932901062071e-05,1.755606899678241462e-05
2.460000000000000000e+03,2.467542344675166532e-06,3.252183432778110728e-06,5.929385952185839415e-05,1.748440627125091851e-05
2.470000000000000000e+03,2.377462351432768628e-06,3.055448132727178745e-06,5.889307431061752141e-05,1.740642983349971473e-05
2.480000000000000000e+03,2.253937509522074834e-06,2.804569930958678015e-06,5.851250898558646441e-05,1.730793883325532079e-05
2.490000000000000000e+03,2.106330839524162002e-06,2.525230911487597041e-06,5.815493204863741994e-05,1.721257467579562217e-05
2.500000000000000000e+03,1.942587914527393878e-06,2.225335038019693457e-06,5.782198786619119346e-05,1.709405478322878480e-05
2.510000000000000000e+03,1.771748770806880202e-06,1.929282007040455937e-06,5.751521530328318477e-05,1.697802144917659461e-05
2.520000000000000000e+03,1.601345957169542089e-06,1.643276391405379400e-06,5.723640060750767589e-05,1.685139795881696045e-05
2.530000000000000000e+03,1.438300841982709244e-06,1.381344532092043664e-06,5.698556924471631646e-05,1.671922109380830079e-05
2.540000000000000000e+03,1.287030841012892779e-06,1.145064402408024762e-06,5.676239379681646824e-05,1.657242682995274663e-05
2.550000000000000000e+03,1.151327069237595424e-06,9.444071906727913301e-07,5.656585562974214554e-05,1.642154347791802138e-05
